Type|Number|Result|Material A|Material B|Success Rate|Result
Regular|001|Potion|Herb|Blue Mushroom|95%|1
Regular|002|Mega Potion|Potion|Honey|90%|1
Regular|003|Nutrients|Blue Mushroom|Godbug|90%|1
Regular|004|Mega Nutrients|Nutrients|Honey|75%|1
Regular|005|Antidote|Antidote Herb|Blue Mushroom|95%|1
Regular|006|Herbal Medicine|Cactus Flower|Bitterbug|90%|1
Regular|007|Max Potion|Mega Nutrients|Dragon Toadstool|65%|1
Regular|008|Ancient Potion|Immunizer|Kelbi Horn|55%|1
Regular|009|Catalyst|Honey|Bitterbug|75%|1
Regular|010|Immunizer|Catalyst|Dragon Toadstool|75%|1
Regular|011|Power Juice|Catalyst|Rare Steak|75%|1
Regular|012|Mega Juice|Well-Done Steak|Power Extract|65%|1
Regular|013|Energy Drink|Honey|Sunset Herb|65%|1
Regular|014|Demondrug|Catalyst|Power Seed|65%|1
Regular|015|Mega Demondrug|Demondrug|Pale Extract|55%|1
Regular|016|Power Pill|Immunizer|Power Seed|75%|1
Regular|017|Armorskin|Catalyst|Armor Seed|65%|1
Regular|018|Mega Armorskin|Armorskin|Pale Extract|55%|1
Regular|019|Armor Pill|Immunizer|Armor Seed|75%|1
Regular|020|Hot Drink|Hot Pepper|Bitterbug|95%|1
Regular|021|Hot Meat|Well-Done Steak|Hot Pepper|95%|1
Regular|022|Cool Drink|Ice Crystal|Bitterbug|95%|1
Regular|023|Cool Meat|Well-Done Steak|Ice Crystal|95%|1
Regular|024|Spicy Mushroom|Hot Pepper|Special Mushroom|85%|1
Regular|025|Frozen Berry|Tropical Berry|Ice Crystal|85%|1
Regular|026|Thawing Agent|Fire Herb|Rumblefish|95%|1
Regular|027|Poisoned Meat|Raw Meat|Toadstool|90%|1
Regular|028|Tainted Meat|Raw Meat|Parashroom|90%|1
Regular|029|Drugged Meat|Raw Meat|Sleep Herb|90%|1
Regular|030|Bomb Material|Sap Plant|Stone|95%|1
Regular|031|Deodorant|Bomb Material|Sunset Herb|95%|1
Regular|032|Smoke Bomb|Bomb Material|Ivy|75%|1
Regular|033|Poison Smoke Bmb|Bomb Material|Toadstool|75%|1
Regular|034|Flash Bomb|Bomb Material|Flashbug|75%|1
Regular|035|Dung Bomb|Bomb Material|Dung|75%|1
Regular|036|Paintball|Sap Plant|Painberry|95%|1
Regular|037|Farcaster|Bomb Material|Exciteshroom|95%|1
Regular|038|Gunpowder|Fire Herb|Nitroshroom|95%|1
Regular|039|Sm Barrel-Bomb|Small Barrel|Fire Herb|90%|1
Regular|040|Sm Barrel-Bomb+|Sm Barrel-Bomb|Burst Arrowana|90%|1
Regular|041|Lg Barrel-Bomb|Gunpowder|Large Barrel|75%|1
Regular|042|Lg Barrel-Bomb+|Lg Barrel-Bomb|Scatterfish|75%|1
Regular|043|Lightning Rod|Burst Arrowana|Thunderbug|75%|1
Regular|044|Bounce Bomb|Sm Barrel-Bomb|Vespoid Wing|75%|1
Regular|045|Bounce Bomb+|Bounce Bomb|Bomb Arrowana|75%|1
Regular|046|Sonic Bomb|Gunpowder|Screamer|75%|1
Regular|047|Net|Spiderweb|Ivy|90%|1
Regular|048|Pitfall Trap|Net|Trap Tool|75%|1
Regular|049|Shock Trap|Trap Tool|Genprey Fang|90%|1
Regular|050|Tuna Bait|Worm|Yambug|95%|1
Regular|051|Arrowana Bait|Cricket|Bughopper|95%|1
Regular|052|Goldenfish Bait|Firefly|Snakebee Larva|90%|1
Regular|053|Old Pickaxe|Stone|Bone|95%|1
Regular|054|Iron Pickaxe|Iron Ore|Bone|75%|1
Regular|055|Mega Pickaxe|Machalite Ore|Bone|95%|1
