Combo List

Number 	Result 		Material A 		Material B 	Success Rate 	Result
001 	Potion 	= 	Herb 	+ 	Blue Mushroom 	95% 	1
002 	Mega Potion 	= 	Potion 	+ 	Honey 	90% 	1
003 	Nutrients 	= 	Blue Mushroom 	+ 	Godbug 	90% 	1
004 	Mega Nutrients 	= 	Nutrients 	+ 	Honey 	75% 	1
005 	Antidote 	= 	Antidote Herb 	+ 	Blue Mushroom 	95% 	1
006 	Herbal Medicine 	= 	Cactus Flower 	+ 	Bitterbug 	90% 	1
007 	Max Potion 	= 	Mega Nutrients 	+ 	Dragon Toadstool 	65% 	1
008 	Ancient Potion 	= 	Immunizer 	+ 	Kelbi Horn 	55% 	1
009 	Catalyst 	= 	Honey 	+ 	Bitterbug 	75% 	1
010 	Immunizer 	= 	Catalyst 	+ 	Dragon Toadstool 	75% 	1
011 	Power Juice 	= 	Catalyst 	+ 	Rare Steak 	75% 	1
012 	Mega Juice 	= 	Well-Done Steak 	+ 	Power Extract 	65% 	1
013 	Energy Drink 	= 	Honey 	+ 	Sunset Herb 	65% 	1
014 	Demondrug 	= 	Catalyst 	+ 	Power Seed 	65% 	1
015 	Mega Demondrug 	= 	Demondrug 	+ 	Pale Extract 	55% 	1
016 	Power Pill 	= 	Immunizer 	+ 	Power Seed 	75% 	1
017 	Armorskin 	= 	Catalyst 	+ 	Armor Seed 	65% 	1
018 	Mega Armorskin 	= 	Armorskin 	+ 	Pale Extract 	55% 	1
019 	Armor Pill 	= 	Immunizer 	+ 	Armor Seed 	75% 	1
020 	Hot Drink 	= 	Hot Pepper 	+ 	Bitterbug 	95% 	1
021 	Hot Meat 	= 	Well-Done Steak 	+ 	Hot Pepper 	95% 	1
022 	Cool Drink 	= 	Ice Crystal 	+ 	Bitterbug 	95% 	1
023 	Cool Meat 	= 	Well-Done Steak 	+ 	Ice Crystal 	95% 	1
024 	Spicy Mushroom 	= 	Hot Pepper 	+ 	Special Mushroom 	85% 	1
025 	Frozen Berry 	= 	Tropical Berry 	+ 	Ice Crystal 	85% 	1
026 	Thawing Agent 	= 	Fire Herb 	+ 	Rumblefish 	95% 	1
027 	Poisoned Meat 	= 	Raw Meat 	+ 	Toadstool 	90% 	1
028 	Tainted Meat 	= 	Raw Meat 	+ 	Parashroom 	90% 	1
029 	Drugged Meat 	= 	Raw Meat 	+ 	Sleep Herb 	90% 	1
030 	Bomb Material 	= 	Sap Plant 	+ 	Stone 	95% 	1
031 	Deodorant 	= 	Bomb Material 	+ 	Sunset Herb 	95% 	1
032 	Smoke Bomb 	= 	Bomb Material 	+ 	Ivy 	75% 	1
033 	Poison Smoke Bmb 	= 	Bomb Material 	+ 	Toadstool 	75% 	1
034 	Flash Bomb 	= 	Bomb Material 	+ 	Flashbug 	75% 	1
035 	Dung Bomb 	= 	Bomb Material 	+ 	Dung 	75% 	1
036 	Paintball 	= 	Sap Plant 	+ 	Painberry 	95% 	1
037 	Farcaster 	= 	Bomb Material 	+ 	Exciteshroom 	95% 	1
038 	Gunpowder 	= 	Fire Herb 	+ 	Nitroshroom 	95% 	1
039 	Sm Barrel-Bomb 	= 	Small Barrel 	+ 	Fire Herb 	90% 	1
040 	Sm Barrel-Bomb+ 	= 	Sm Barrel-Bomb 	+ 	Burst Arrowana 	90% 	1
041 	Lg Barrel-Bomb 	= 	Gunpowder 	+ 	Large Barrel 	75% 	1
042 	Lg Barrel-Bomb+ 	= 	Lg Barrel-Bomb 	+ 	Scatterfish 	75% 	1
